month_year,type_of_offence,count_category,count
2012-03-01,Alcohol specific offences,Offences,2422.0
2012-03-01,Camera-issued speed offences,Fines,3147690.0
2012-03-01,Camera-issued speed offences,Offences,37773.0
2012-03-01,Drug specific offences,Offences,21.0
2012-03-01,Mobile phone offences,Fines,74880.0
2012-03-01,Mobile phone offences,Offences,936.0
2012-03-01,Officer-issued red light,Fines,131550.0
2012-03-01,Officer-issued red light,Offences,877.0
2012-03-01,Restraints,Fines,645450.0
2012-03-01,Restraints,Offences,4304.0
2012-04-01,Alcohol specific offences,Fines,18400.0
2012-04-01,Alcohol specific offences,Offences,2323.0
2012-04-01,Camera-issued speed offences,Fines,3286170.0
2012-04-01,Camera-issued speed offences,Offences,41968.0
2012-04-01,Drug specific offences,Offences,20.0
2012-04-01,Mobile phone offences,Fines,65120.0
2012-04-01,Mobile phone offences,Offences,814.0
2012-04-01,Officer-issued red light,Fines,114600.0
2012-04-01,Officer-issued red light,Offences,764.0
2012-04-01,Restraints,Fines,543300.0
2012-04-01,Restraints,Offences,3623.0
2012-05-01,Alcohol specific offences,Fines,17200.0
2012-05-01,Alcohol specific offences,Offences,2376.0
2012-05-01,Camera-issued speed offences,Fines,3224510.0
2012-05-01,Camera-issued speed offences,Offences,40602.0
2012-05-01,Drug specific offences,Offences,32.0
2012-05-01,Mobile phone offences,Fines,88320.0
2012-05-01,Mobile phone offences,Offences,1104.0
2012-05-01,Officer-issued red light,Fines,137400.0
2012-05-01,Officer-issued red light,Offences,917.0
2012-05-01,Restraints,Fines,635250.0
2012-05-01,Restraints,Offences,4235.0
2012-06-01,Alcohol specific offences,Fines,17e3
2012-06-01,Alcohol specific offences,Offences,2306.0
2012-06-01,Camera-issued speed offences,Fines,3304760.0
2012-06-01,Camera-issued speed offences,Offences,46026.0
2012-06-01,Drug specific offences,Offences,32.0
2012-06-01,Mobile phone offences,Fines,60720.0
2012-06-01,Mobile phone offences,Offences,759.0
2012-06-01,Officer-issued red light,Fines,126e3
2012-06-01,Officer-issued red light,Offences,840.0
2012-06-01,Restraints,Fines,522450.0
2012-06-01,Restraints,Offences,3483.0
2012-07-01,Alcohol specific offences,Fines,14800.0
2012-07-01,Alcohol specific offences,Offences,2263.0
2012-07-01,Camera-issued speed offences,Fines,3650060.0
2012-07-01,Camera-issued speed offences,Offences,42164.0
2012-07-01,Drug specific offences,Offences,23.0
2012-07-01,Mobile phone offences,Fines,72640.0
2012-07-01,Mobile phone offences,Offences,908.0
2012-07-01,Officer-issued red light,Fines,130200.0
2012-07-01,Officer-issued red light,Offences,868.0
2012-07-01,Restraints,Fines,590400.0
2012-07-01,Restraints,Offences,3937.0
2012-08-01,Alcohol specific offences,Fines,17400.0
2012-08-01,Alcohol specific offences,Offences,2355.0
2012-08-01,Camera-issued speed offences,Fines,3367220.0
2012-08-01,Camera-issued speed offences,Offences,41423.0
2012-08-01,Drug specific offences,Offences,24.0
2012-08-01,Mobile phone offences,Fines,99200.0
2012-08-01,Mobile phone offences,Offences,1240.0
2012-08-01,Officer-issued red light,Fines,141300.0
2012-08-01,Officer-issued red light,Offences,942.0
2012-08-01,Restraints,Fines,735300.0
2012-08-01,Restraints,Offences,4902.0
2012-09-01,Alcohol specific offences,Fines,16600.0
2012-09-01,Alcohol specific offences,Offences,2286.0
2012-09-01,Camera-issued speed offences,Fines,2936280.0
2012-09-01,Camera-issued speed offences,Offences,36208.0
2012-09-01,Drug specific offences,Offences,21.0
2012-09-01,Mobile phone offences,Fines,82720.0
2012-09-01,Mobile phone offences,Offences,1034.0
2012-09-01,Officer-issued red light,Fines,120900.0
2012-09-01,Officer-issued red light,Offences,806.0
2012-09-01,Restraints,Fines,700200.0
2012-09-01,Restraints,Offences,4668.0
2012-10-01,Alcohol specific offences,Fines,19200.0
2012-10-01,Alcohol specific offences,Offences,2305.0
2012-10-01,Camera-issued speed offences,Fines,3595350.0
2012-10-01,Camera-issued speed offences,Offences,48677.0
2012-10-01,Drug specific offences,Offences,12.0
2012-10-01,Mobile phone offences,Fines,82640.0
2012-10-01,Mobile phone offences,Offences,1033.0
2012-10-01,Officer-issued red light,Fines,113100.0
2012-10-01,Officer-issued red light,Offences,754.0
2012-10-01,Restraints,Fines,670650.0
2012-10-01,Restraints,Offences,4471.0
2012-11-01,Alcohol specific offences,Fines,16800.0
2012-11-01,Alcohol specific offences,Offences,2303.0
2012-11-01,Camera-issued speed offences,Fines,3047050.0
2012-11-01,Camera-issued speed offences,Offences,37384.0
2012-11-01,Drug specific offences,Offences,22.0
